,Gregariousness,Anxiety,Emotionality,Emotional Stability,Orderliness,Reserve,Dominance,Assertiveness,Complexity,Warmth,Friendliness,Distrust,Dutifulness,Introversion,Intellect,Sensitivity,Imagination,Agreeableness,Achievement-striving,Deliberateness,Humor/Playfulness,Self-Sufficiency,Methodicalness,Adaptability,Adventurousness,Industriousness/Perseverance/Persistence,Extraversion,Resourcefulness,Intellectual Openness,Exhibitionism,Unpretentiousness,Calmness,Leadership,Comprehension,Independence,Culture,Reclusiveness,Conservatism,Docility,Conscientiousness,Attractiveness,Negative-Valence,Morality,Self-disclosure,Happiness,Cool-headedness,Moderation,Quickness,Tranquility,Purposefulness,Toughness,Poise,Sympathy,Stability,Impulse-Control,Imperturbability,Cautiousness,Pleasantness,Efficiency,Ingenuity,Understanding,Provocativeness,Rationality,Perfectionism,Empathy,Creativity/Originality,Sociability,Tenderness,Nurturance,Introspection/Private Self-Consciousness,Cooperation,Organization,Talkativeness,Reflection,Depth,Competence,Responsive Distress,Attention to Emotions,Responsive Joy,Emotion-based Decision-making,Negative Expressivity,Positive Expressivity,Neuroticism,Anger,Vitality/Enthusiasm/Zest,Compassion,Aesthetic Appreciation/Artistic Interests,Impression-Management,Self-deception,Cognitive-Failures,Behavioral Inhibition/Activation System,Excitement-seeking,Ambition/Drive,Risk-taking/Sensation-Seeking/Thrill-Seeking,Public Self-consciousness,Need for Cognition,Non-Planfulness,Callousness,Norm Violation,Peculiarity,Irresponsibility,Workaholism,Emotional Detachment,Irrational Beliefs,Health Anxiety,Relationship Insecurity,Anhedonia,Manipulativeness,Rigidity,Submissiveness,Cognitive Problems,Non-Perseverance,Hostile Aggression,Mistrust,Depression,Fantasy Proneness,Grandiosity,Affective Lability,Romantic Disinterest,Social Withdrawal,Unusual Experiences,Self-harm,Rudeness,Hypomanic Mood Intensity,Hypomanic Exhibitionism,Tolerance,Responsibility,Self-control/Self-regulation,Forcefulness,Good Nature,Politeness,Self-discipline,Security,Temperance,Disorderliness,Amiability,Hope/Optimism,Self-efficacy,Liberalism,Timidity,Planfulness,Insight,Sentimentality,Need for Order and Cleanliness,Physical Attractiveness,Obsessive-Compulsive Symptoms,Dissociation,Gentleness,Prudence,Sincerity,Flexibility,Equity/Fairness,Fearfulness,Unconventionality,Patience,Diligence,Social Boldness,Forgiveness/Mercy,Inquisitiveness,Modesty/Humility,Greed Avoidance,Expressiveness,Liveliness,Conformity/Dependence/Need for approval,Social-confidence,Interest in Game-Playing,Self-confidence,Rumination,Love of Reading,Appearance-Consciousness,Trust,Language Mastery,Curiosity,Problem-solving,Self-acceptance,Variety-seeking,Disparagement,Activity-Level,Traditionalism,Intellectual-Breadth,Intellectual-Complexity,Machiavellianism,Locus of Control,"Locus of Control,Internal","Locus of Control,Chance","Locus of Control,Rational","Locus of Control,External",Unlikely Virtues,Joyfulness,Risk-avoidance,Belligerence,Immoderation,Self-consciousness,Vulnerability,Altruism,Cheerfulness,Openness To Experience,Interest in Food,Spirituality/Religiousness,Interest in Romance,Interest in Political Activism,Interest in Sports,Interest in Home-Making,Interest in Pets,Interest in Drinking,Interest in Gambling,Interest in Collecting,Interest in Vehicles,Interest in Self-Improvement,Interest in Gardening,Interest in Money,Interest in Shopping,Interest in Environmentalism,Interest in Exercise,Interest in Music,Interest in Children,Love of Learning,Interest in Computing,Interest in Journaling,Interest in Social Media,Interest in Watching Television,Interest in Travel,Interest in Outdoor Activities,Science Interest,Construction/Mechanical Interests,Self-esteem,Self-monitoring,ADHD,Social-discomfort,Satisfaction,Romanticism,Femininity,Harm-Avoidance,Rebelliousness,Initiative,Recklessness,Extravagance,Bravery/Courage/Valor,Judgment/Open-mindedness,Social/Personal/Emotional Intelligence,Gratitude,Teamwork/Citizenship,Wisdom/Perspective,Honesty/Integrity/Authenticity,Kindness/Generosity,Capacity for Love
16PF,3.4,2.8,2.4,3.7,3.2222222222222223,2.6,3.6,4.0,4.0,4.3,3.6,2.6,3.2,3.5,3.6153846153846154,4.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FPQ,3.6,,,,3.8333333333333335,,,,,,,,,,,,,3.8,3.6,4.0,4.0,3.0,3.5,4.125,3.2,3.8,3.2,3.8,4.2,3.8,2.6666666666666665,3.7,3.2,4.2,2.8,4.3,2.8,3.5,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7FACTOR,,,,3.0,,,,,,,,,,,4.222222222222222,,,4.3,,,,,,,,,3.4444444444444446,,,,,,,,,,,,,3.7,3.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB5C,2.6666666666666665,,,,3.6666666666666665,,,4.090909090909091,,4.5,3.2222222222222223,,4.230769230769231,,4.2,,4.428571428571429,,,,,,,,,,,,,,,3.8,3.5555555555555554,,,,,,,4.0,,,4.25,3.8,3.7,2.4,3.3,4.4,2.727272727272727,3.5,3.6666666666666665,3.6,4.230769230769231,3.7,3.4545454545454546,2.888888888888889,3.0833333333333335,3.8333333333333335,3.6363636363636362,4.111111111111111,4.7,2.8181818181818183,3.4285714285714284,3.4444444444444446,4.333333333333333,3.8,2.7,3.923076923076923,4.0,4.083333333333333,3.8333333333333335,4.333333333333333,2.7,4.6,4.777777777777778,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barchard2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,3.6,4.2,3.7,3.2222222222222223,2.6,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFAS,,2.5,,,5.0,,,3.625,,,,,,,4.0,,,,,,,,,,,3.5,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,2.45,2.8,3.5,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFAS-20,,,,3.4285714285714284,,,,,,,,,,,4.333333333333333,,,4.285714285714286,,,,,,,,,3.230769230769231,,,,,,,,,,,,,3.9285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.4,2.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS_BAS,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.166666666666667,3.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buss1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,2.9166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
